region;;;median;upper;lower;median;upper
Sub-Saharan Africa;;;39,820157;42,396932;568662;591774;626820
West and Central Africa;;;40,214721;44,137154;262349;279006;303798
Eastern and Southern Africa;;;39,474451;42,521735;295842;312767;334924
Middle East and North Africa;;;9,516906;10,260104;63007;66627;71738
South Asia;;;20,386521;21,239496;561782;582802;605420
East Asia and Pacific;;;9,801735;11,101171;305769;340142;384156
Latin America and Caribbean;;;6,058459;6,887877;60889;63150;71488
North America;;;2,401342;2,443074;9246;9408;9569
Europe and Central Asia;;;4,258448;4,466556;52215;54285;56920
Eastern Europe and Central Asia;;;5,999659;6,391635;39493;41570;44194
Western Europe;;;2,172299;2,189145;12623;12715;12815
World;;;15,186152;15,841255;1665782;1708192;1778217
Sub-Saharan Africa;;;39,125599;41,464077;576814;598067;630943
West and Central Africa;;;39,668677;43,346191;267187;283437;307486
Eastern and Southern Africa;;;38,648553;41,327751;299324;314630;334506
Middle East and North Africa;;;9,166431;9,856855;62382;65880;70792
South Asia;;;20,486417;21,338832;576818;597996;621367
East Asia and Pacific;;;9,440916;10,638789;300377;331852;372361
Latin America and Caribbean;;;5,823869;6,462529;59331;61350;67832
North America;;;2,350521;2,39132;9194;9352;9511
Europe and Central Asia;;;4,248185;4,450779;52270;54284;56853
Eastern Europe and Central Asia;;;6,006943;6,384892;39957;41976;44537
Western Europe;;;2,114532;2,130509;12222;12307;12402
World;;;15,037218;15,636733;1678924;1718785;1783894
Sub-Saharan Africa;;;38,417905;40,573097;583147;603468;634647
West and Central Africa;;;39,120985;42,682543;271701;287580;311608
Eastern and Southern Africa;;;37,799139;40,170005;301628;315888;334206
Middle East and North Africa;;;8,532228;9,172936;59429;62859;67533
South Asia;;;19,198512;19,979761;551955;571675;593426
East Asia and Pacific;;;9,058898;10,222721;296247;325795;364986
Latin America and Caribbean;;;5,596516;6,072583;57740;59525;64424
North America;;;2,301904;2,342272;9147;9308;9468
Europe and Central Asia;;;4,317492;4,516135;53288;55313;57841
Eastern Europe and Central Asia;;;6,168762;6,537683;41413;43439;45969
Western Europe;;;2,048965;2,064342;11789;11872;11963
World;;;14,49429;15,05067;1650746;1687947;1749085
Sub-Saharan Africa;;;37,665238;39,677334;587327;606918;636918
West and Central Africa;;;38,567486;41,948801;275664;291113;314702
Eastern and Southern Africa;;;36,870041;39,057073;302055;315805;333332
Middle East and North Africa;;;8,139453;8,732492;57883;61203;65636
South Asia;;;18,611163;19,361054;545461;564068;585742
East Asia and Pacific;;;8,670088;9,789776;292639;320991;359493
Latin America and Caribbean;;;5,38564;5,750574;56188;57773;61597
