,Country Name,Country Code,Year,Invasive Non-typhoidal Salmonella (iNTS)  ,Interpersonal violence  ,Nutritional deficiencies  ,Acute hepatitis  ,Neoplasms  ,Measles  ,Digestive diseases  ,Cirrhosis and other chronic liver diseases  ,Chronic kidney disease  ,Cardiovascular diseases  ,Congenital birth defects  ,Lower respiratory infections  ,Neonatal preterm birth  ,Environmental heat and cold exposure  ,Neonatal sepsis and other neonatal infections  ,Exposure to forces of nature  ,Diabetes mellitus  ,Neonatal encephalopathy due to birth asphyxia and trauma  ,Meningitis  ,Other neonatal disorders  ,Whooping cough  ,Diarrheal diseases  ,"Fire, heat, and hot substances  ",Road injuries  ,Tuberculosis  ,HIV/AIDS  ,Drowning  ,Malaria  ,Syphilis  
29,Afghanistan,AFG,2019,173.6506317,240.0,925.0,307.0,620.0,1061.0,636.0,194.0,299.0,207.0,16589.0,13770.0,8516.0,1.0,1243.0,43.0,62.0,2394.0,953.0,10986.0,3104.0,4109.0,110.0,609.0,344.0,98.0,552.0,92.0,369.5138688
149,Albania,ALB,2019,0.072981634,1.0,2.0,0.0,17.0,1.0,9.0,2.0,2.0,18.0,98.0,65.0,53.0,0.0,1.0,2.0,0.0,17.0,3.0,88.0,3.0,1.0,2.0,6.0,0.0,0.0,5.0,0.0,2.363532309
179,Algeria,DZA,2019,8.178061221,9.0,27.0,10.0,125.0,75.0,128.0,46.0,71.0,208.0,4936.0,766.0,5499.0,1.0,363.0,0.0,15.0,860.0,64.0,1954.0,244.0,254.0,63.0,483.0,9.0,19.0,83.0,0.0,80.52587327
239,American Samoa,ASM,2019,0.006926077,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.178882028
299,Andorra,AND,2019,0.000490397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022067049
329,Angola,AGO,2019,420.4061004,99.0,1856.0,24.0,378.0,932.0,427.0,95.0,91.0,226.0,4340.0,5577.0,7085.0,16.0,2377.0,5.0,66.0,4633.0,1064.0,3892.0,3064.0,7088.0,171.0,1292.0,1549.0,844.0,375.0,6045.0,2312.245984
359,Antigua and Barbuda,ATG,2019,0.000384983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004096325
389,Argentina,ARG,2019,0.405385241,37.0,50.0,2.0,153.0,0.0,42.0,7.0,24.0,76.0,2058.0,450.0,1895.0,1.0,471.0,0.0,4.0,414.0,67.0,480.0,17.0,111.0,36.0,99.0,8.0,12.0,81.0,0.0,15.32817934
419,Armenia,ARM,2019,0.003224417,1.0,0.0,0.0,15.0,0.0,9.0,1.0,1.0,1.0,124.0,97.0,75.0,0.0,53.0,0.0,0.0,7.0,0.0,20.0,0.0,7.0,3.0,3.0,2.0,0.0,4.0,0.0,0.000499753
509,Australia,AUS,2019,0.12462333,12.0,1.0,0.0,43.0,0.0,6.0,0.0,2.0,11.0,286.0,28.0,192.0,0.0,16.0,0.0,1.0,163.0,9.0,115.0,0.0,4.0,4.0,23.0,0.0,1.0,23.0,0.0,0.094920832
539,Austria,AUT,2019,0.001509073,3.0,0.0,0.0,10.0,0.0,3.0,0.0,1.0,2.0,88.0,4.0,55.0,0.0,5.0,0.0,0.0,30.0,3.0,24.0,0.0,2.0,1.0,3.0,0.0,0.0,2.0,0.0,0.00289216
569,Azerbaijan,AZE,2019,0.305338708,3.0,8.0,3.0,49.0,0.0,33.0,1.0,8.0,6.0,474.0,1316.0,851.0,1.0,86.0,0.0,1.0,857.0,16.0,26.0,77.0,86.0,57.0,6.0,23.0,2.0,27.0,0.0,17.22465104
599,Bahamas,BHS,2019,0.007516419,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,4.0,7.0,0.0,5.0,2.0,0.0,4.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.006286524
629,Bahrain,BHR,2019,0.140489562,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,29.0,2.0,21.0,0.0,1.0,0.0,1.0,4.0,0.0,6.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.328976014
659,Bangladesh,BGD,2019,138.9569603,105.0,1081.0,132.0,799.0,292.0,614.0,234.0,371.0,213.0,9160.0,12316.0,7536.0,6.0,6104.0,10.0,94.0,14323.0,257.0,10192.0,1534.0,1735.0,140.0,172.0,443.0,38.0,1584.0,0.0,1861.883974
689,Barbados,BRB,2019,0.000968676,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,7.0,0.0,4.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023367969
719,Belarus,BLR,2019,0.020575869,6.0,3.0,2.0,32.0,0.0,8.0,1.0,0.0,1.0,167.0,25.0,41.0,1.0,38.0,0.0,0.0,53.0,10.0,27.0,0.0,2.0,15.0,7.0,1.0,2.0,13.0,0.0,0.086418491
749,Belgium,BEL,2019,0.014970004,6.0,0.0,0.0,15.0,0.0,2.0,0.0,1.0,3.0,111.0,8.0,58.0,0.0,11.0,0.0,0.0,56.0,6.0,45.0,0.0,4.0,3.0,6.0,0.0,1.0,4.0,0.0,0.002469244
779,Belize,BLZ,2019,0.007747515,1.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,17.0,12.0,25.0,0.0,10.0,0.0,0.0,14.0,1.0,7.0,0.0,4.0,0.0,1.0,0.0,1.0,2.0,0.0,0.011047995
809,Benin,BEN,2019,831.184017,116.0,573.0,43.0,240.0,2221.0,280.0,59.0,87.0,237.0,3027.0,5196.0,4712.0,17.0,1896.0,0.0,18.0,4867.0,1244.0,969.0,917.0,2910.0,138.0,358.0,367.0,184.0,213.0,7661.0,206.2078362
839,Bermuda,BMU,2019,5.42e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000246623
869,Bhutan,BTN,2019,0.170329297,0.0,3.0,2.0,5.0,0.0,3.0,1.0,1.0,1.0,46.0,49.0,84.0,0.0,16.0,0.0,0.0,59.0,9.0,64.0,1.0,11.0,1.0,2.0,3.0,3.0,4.0,0.0,20.15891026
899,Bolivia,BOL,2019,2.626376903,32.0,231.0,2.0,135.0,0.0,174.0,19.0,36.0,65.0,1628.0,1581.0,1615.0,2.0,999.0,6.0,5.0,842.0,53.0,333.0,191.0,286.0,40.0,114.0,64.0,142.0,118.0,0.0,209.8675121
929,Bosnia and Herzegovina,BIH,2019,0.034775464,0.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,1.0,34.0,4.0,47.0,0.0,4.0,0.0,0.0,10.0,1.0,13.0,7.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.376863
959,Botswana,BWA,2019,5.500199465,8.0,120.0,1.0,8.0,9.0,9.0,3.0,4.0,11.0,107.0,288.0,292.0,1.0,89.0,0.0,1.0,217.0,28.0,240.0,44.0,189.0,13.0,36.0,50.0,31.0,21.0,6.0,73.44792767
989,Brazil,BRA,2019,10.37677253,455.0,928.0,19.0,1050.0,0.0,586.0,45.0,144.0,659.0,15453.0,4885.0,11042.0,1.0,5395.0,1.0,60.0,6672.0,595.0,6363.0,60.0,1820.0,117.0,663.0,96.0,269.0,521.0,15.0,194.8651103
1019,Brunei,BRN,2019,0.005386052,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,17.0,4.0,11.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.452397129
1049,Bulgaria,BGR,2019,0.004050684,2.0,1.0,0.0,16.0,0.0,7.0,1.0,2.0,6.0,126.0,66.0,86.0,0.0,9.0,0.0,0.0,38.0,5.0,22.0,0.0,6.0,3.0,4.0,0.0,1.0,3.0,0.0,0.016509193
1079,Burkina Faso,BFA,2019,3028.825863,339.0,3241.0,53.0,582.0,2083.0,869.0,180.0,302.0,592.0,8113.0,16513.0,6143.0,41.0,4194.0,0.0,54.0,5525.0,3458.0,3045.0,955.0,9152.0,394.0,1162.0,1516.0,333.0,599.0,16395.0,734.8420961
1109,Burundi,BDI,2019,47.37760502,10.0,1183.0,14.0,240.0,199.0,132.0,18.0,33.0,113.0,2088.0,2519.0,2245.0,9.0,1457.0,1.0,18.0,3120.0,450.0,1870.0,249.0,5645.0,82.0,147.0,451.0,201.0,119.0,5776.0,70.11917285
1139,Cambodia,KHM,2019,10.03826185,13.0,83.0,7.0,166.0,100.0,243.0,42.0,20.0,106.0,1417.0,3347.0,2244.0,0.0,588.0,0.0,7.0,1229.0,106.0,345.0,160.0,324.0,23.0,66.0,112.0,58.0,143.0,11.0,14.4697121
1169,Cameroon,CMR,2019,767.410696,65.0,512.0,62.0,279.0,1943.0,293.0,64.0,130.0,308.0,4237.0,7792.0,5823.0,16.0,2738.0,5.0,23.0,5802.0,1185.0,1140.0,1292.0,13472.0,154.0,527.0,522.0,718.0,221.0,9770.0,1329.403464
1199,Canada,CAN,2019,0.070168183,15.0,1.0,0.0,60.0,0.0,13.0,2.0,10.0,19.0,453.0,31.0,439.0,0.0,41.0,0.0,1.0,205.0,13.0,228.0,1.0,8.0,11.0,29.0,0.0,1.0,21.0,0.0,0.016591848
1229,Cape Verde,CPV,2019,1.892663447,2.0,3.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,23.0,15.0,39.0,0.0,16.0,0.0,0.0,32.0,2.0,4.0,1.0,7.0,1.0,1.0,1.0,3.0,4.0,5.0,3.03388607
1289,Central African Republic,CAF,2019,141.8291174,29.0,812.0,16.0,79.0,495.0,94.0,16.0,27.0,76.0,1152.0,3270.0,2210.0,6.0,598.0,0.0,15.0,1371.0,384.0,1099.0,711.0,5409.0,57.0,478.0,1389.0,130.0,156.0,2312.0,453.4238349
1469,Chad,TCD,2019,886.8035924,158.0,1798.0,125.0,289.0,2382.0,452.0,102.0,110.0,384.0,4465.0,13750.0,6140.0,31.0,3040.0,0.0,22.0,6791.0,3197.0,1122.0,2627.0,25059.0,217.0,510.0,1521.0,383.0,332.0,4526.0,1244.966303
1499,Chile,CHL,2019,0.031397625,11.0,4.0,0.0,45.0,0.0,10.0,1.0,4.0,8.0,585.0,58.0,346.0,0.0,56.0,0.0,1.0,87.0,13.0,103.0,5.0,8.0,13.0,32.0,1.0,2.0,20.0,0.0,0.30750423
1529,China,CHN,2019,41.45468327,520.0,630.0,123.0,4909.0,588.0,1713.0,58.0,197.0,1606.0,28508.0,14749.0,22134.0,78.0,1921.0,12.0,76.0,14523.0,1457.0,5421.0,602.0,1422.0,432.0,4037.0,321.0,588.0,5025.0,0.0,1782.823013
1559,Colombia,COL,2019,0.818576594,114.0,380.0,2.0,248.0,0.0,126.0,13.0,48.0,101.0,2375.0,986.0,1756.0,0.0,957.0,1.0,9.0,754.0,87.0,765.0,18.0,250.0,26.0,132.0,17.0,34.0,155.0,11.0,14.39696746
1709,Comoros,COM,2019,0.509661214,2.0,18.0,0.0,8.0,32.0,4.0,1.0,1.0,3.0,65.0,122.0,106.0,0.0,42.0,1.0,1.0,123.0,19.0,105.0,23.0,81.0,2.0,6.0,6.0,0.0,3.0,15.0,16.01393664
1739,Congo,COG,2019,30.65865591,11.0,72.0,1.0,28.0,129.0,29.0,6.0,8.0,17.0,383.0,333.0,785.0,1.0,277.0,0.0,6.0,471.0,56.0,454.0,198.0,877.0,12.0,77.0,70.0,321.0,23.0,734.0,174.0217626
1769,Cook Islands,COK,2019,0.001072579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.168809298
1799,Costa Rica,CRI,2019,0.010256312,3.0,2.0,0.0,12.0,0.0,5.0,1.0,2.0,5.0,173.0,28.0,136.0,0.0,12.0,0.0,0.0,47.0,4.0,43.0,0.0,10.0,1.0,7.0,0.0,3.0,5.0,0.0,0.508226791
1829,Cote d'Ivoire,CIV,2019,1193.548381,144.0,405.0,31.0,299.0,189.0,299.0,70.0,101.0,285.0,4015.0,8922.0,8457.0,19.0,3245.0,0.0,24.0,8769.0,925.0,2236.0,1372.0,3978.0,160.0,325.0,608.0,937.0,250.0,13994.0,934.3955181
1859,Croatia,HRV,2019,0.001889423,1.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,46.0,3.0,16.0,0.0,7.0,0.0,0.0,21.0,1.0,18.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.001183717
1889,Cuba,CUB,2019,0.081944784,5.0,2.0,0.0,25.0,0.0,6.0,1.0,2.0,6.0,133.0,48.0,51.0,0.0,31.0,0.0,0.0,40.0,11.0,57.0,0.0,8.0,1.0,6.0,0.0,2.0,6.0,0.0,0.006272482
1919,Cyprus,CYP,2019,0.015731909,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,10.0,0.0,1.0,0.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.377934665
1949,Czechia,CZE,2019,0.031825065,3.0,0.0,0.0,15.0,0.0,3.0,0.0,1.0,2.0,65.0,13.0,48.0,0.0,12.0,0.0,0.0,31.0,3.0,38.0,0.0,3.0,1.0,4.0,0.0,1.0,3.0,0.0,0.00269373
1979,Democratic Republic of Congo,COD,2019,1922.378404,179.0,3210.0,75.0,670.0,3123.0,968.0,175.0,200.0,483.0,10788.0,14046.0,17226.0,33.0,6048.0,0.0,192.0,11216.0,1857.0,8081.0,4205.0,18980.0,335.0,2774.0,4353.0,943.0,735.0,44078.0,5319.406799
2009,Denmark,DNK,2019,0.00144296,1.0,0.0,0.0,9.0,0.0,1.0,0.0,1.0,1.0,62.0,3.0,76.0,0.0,2.0,0.0,0.0,20.0,2.0,12.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.001110711
2039,Djibouti,DJI,2019,1.60745417,5.0,108.0,1.0,26.0,12.0,10.0,2.0,3.0,9.0,153.0,243.0,168.0,1.0,94.0,0.0,2.0,214.0,40.0,151.0,110.0,116.0,8.0,11.0,18.0,11.0,10.0,14.0,31.0893507
