,Country Name,Country Code,Income Classification,Severe Wasting,Wasting,Overweight,Stunting,Underweight,U5 Population ('000s)
0,Afghanistan,AFG,0,3.033333333,10.35,5.125,47.775,30.375,4918.5615
1,Albania,ALB,2,4.075,7.76,20.8,24.16,7.7,232.8598
2,Algeria,DZA,2,2.733333333,5.942857143,12.83333333,19.57142857,7.342857143,3565.213143
3,Angola,AGO,1,2.4,6.933333333,2.55,42.63333333,23.6,3980.054
4,Argentina,ARG,2,0.2,2.15,11.125,10.025,2.6,3613.65175
5,Armenia,ARM,2,1.6,3.94,13.62,16.12,3.48,204.1452
6,Australia,AUS,3,0.0,0.0,13.875,1.0,0.1,1443.0745
7,Azerbaijan,AZE,2,2.575,5.433333333,9.183333333,21.81666667,8.083333333,740.5016667
8,Bangladesh,BGD,1,2.813636364,14.5375,0.9625,54.22916667,46.26666667,15837.4275
9,Barbados,BRB,3,2.0,6.8,12.2,7.7,3.5,16.653
10,Belarus,BLR,2,0.6,2.2,9.7,4.5,1.3,445.676
11,Belize,BLZ,2,0.833333333,2.333333333,9.6,18.76666667,5.3,36.1045
12,Benin,BEN,0,2.425,7.7,2.275,35.375,20.125,1476.52575
13,Bhutan,BTN,1,1.4,4.525,5.1,44.25,17.8,74.79675
14,Bolivia,,1,0.7,1.9,8.6,29.72857143,7.472727273,1104.222182
15,Bosnia And Herzegovina,,2,2.2,4.566666667,19.8,10.93333333,2.466666667,194.1566667
16,Botswana,BWA,2,2.85,8.8,10.05,31.03333333,12.66666667,226.709
17,Brazil,BRA,2,0.7,2.3,6.25,13.13333333,3.925,17071.496
18,Brunei Darussalam,BRN,3,0.4,2.9,8.3,19.7,9.6,31.337
19,Bulgaria,BGR,2,1.533333333,4.666666667,9.0,7.466666667,2.0,344.0373333
20,Burkina Faso,BFA,0,4.169230769,12.73076923,2.25,33.34615385,25.07692308,2796.190615
21,Burundi,BDI,0,1.26,6.666666667,1.775,57.6,32.25,1497.888
22,Cambodia,KHM,1,3.483333333,11.46666667,3.033333333,43.68333333,31.98333333,1651.662167
23,Cameroon,CMR,1,1.814285714,5.671428571,8.042857143,33.74285714,14.68571429,3170.714286
24,Central African Republic,,0,3.16,8.766666667,5.38,41.78333333,23.36666667,673.2005
25,Chad,TCD,0,5.5,15.24,3.04,41.26,31.4,2024.2904
26,China,CHN,2,0.92,3.175,7.027272727,20.6,7.9,97488.13342
27,Colombia,COL,2,0.366666667,1.657142857,4.783333333,18.21428571,5.857142857,4111.355286
28,Comoros,,1,5.4,10.125,12.46666667,39.125,19.575,90.28775
29,Congo,,1,2.433333333,7.2,4.875,26.725,13.1,614.63825
30,Cote D'Ivoire,,1,2.6,8.8,4.3,31.38571429,17.67142857,2943.459429
31,Czechia,CZE,3,1.0,3.7,5.55,2.9,1.5,543.6065
32,Democratic People'S Rep. Of Korea,,0,1.275,8.842857143,1.066666667,40.3,23.12857143,1862.460429
33,Democratic Rep. Of The Congo,,0,4.15,10.86,5.75,45.46,26.84,10621.0802
34,Djibouti,DJI,1,9.4,17.075,8.25,30.075,22.625,99.44525
35,Dominican Republic,,2,0.742857143,2.2125,6.7,12.75,5.1625,990.9735
36,Ecuador,ECU,2,0.58,2.183333333,5.72,28.75,8.316666667,1530.024833
37,Egypt,EGY,1,2.4875,5.79,13.7625,28.5,8.64,8911.539818
38,El Salvador,SLV,1,0.433333333,1.7,4.75,26.6,7.766666667,696.23
39,Equatorial Guinea,GNQ,2,2.425,4.775,8.85,35.65,11.425,115.3865
40,Eritrea,ERI,0,4.633333333,14.6,1.666666667,53.225,37.55,407.6545
41,Eswatini,SWZ,1,0.6,1.7,11.425,32.5,6.82,148.2304
42,Ethiopia,ETH,0,3.016666667,9.957142857,2.75,47.84285714,31.05714286,13942.34557
43,Fiji,FJI,2,2.0,8.05,3.65,5.9,6.1,94.238
44,Gabon,GAB,2,1.4,3.8,6.6,21.45,7.7,219.3365
45,Gambia,,0,2.085714286,8.385714286,2.228571429,23.7,16.3,317.164625
46,Georgia,GEO,2,0.85,2.566666667,19.53333333,14.0,2.066666667,252.58
47,Germany,DEU,3,0.1,0.65,3.35,1.5,0.8,3641.69
48,Ghana,GHA,1,2.011111111,7.622222222,2.822222222,29.47777778,17.24444444,3299.961889
49,Guatemala,GTM,2,0.857142857,2.285714286,5.4,54.1,19.05714286,1849.864286
50,Guinea,GIN,0,3.242857143,9.425,4.333333333,34.2375,19.2625,1712.441125
51,Guinea-Bissau,GNB,0,2.925,8.125,6.75,35.275,18.05,243.32675
52,Guyana,GUY,2,2.45,9.12,5.24,15.28,11.38333333,87.14283333
53,Haiti,HTI,0,1.98,6.616666667,3.66,29.91666667,16.9,1216.808667
54,Honduras,HND,1,0.275,1.828571429,3.9,36.85714286,13.78571429,963.0245714
55,India,IND,1,6.116666667,18.76666667,2.933333333,49.05555556,42.97777778,123014.491
56,Indonesia,IDN,1,4.171428571,11.375,7.2,38.3625,24.3625,22286.51388
57,Iran,,2,1.4,5.75,6.2,14.675,8.0,6392.827
58,Iraq,IRQ,2,2.175,5.542857143,9.5,24.51428571,8.5,4213.459714
59,Jamaica,JAM,2,0.921052632,3.395,5.994736842,8.68,3.955,272.90005
60,Japan,JPN,3,0.2,2.3,1.5,7.1,3.4,5554.144
61,Jordan,JOR,2,0.76,2.58,5.72,11.76,3.5,828.3772
62,Kazakhstan,KAZ,2,1.58,4.2,9.7,15.02,3.76,1485.4536
63,Kenya,KEN,1,2.3625,6.466666667,5.95,37.14444444,16.75,5569.008889
64,Kuwait,KWT,3,0.628571429,2.522222222,7.988888889,4.661111111,2.353333333,254.7628889
65,Kyrgyzstan,KGZ,1,0.816666667,2.533333333,7.666666667,19.91666667,4.366666667,642.159
66,Lao People'S Democratic Rep.,,1,3.2,10.51428571,2.4,44.92857143,30.87142857,794.6028571
67,Lebanon,LBN,2,2.25,5.1,18.75,16.85,3.85,436.8065
68,Lesotho,LSO,1,1.62,6.671428571,9.82,40.2,14.08571429,263.2922857
69,Liberia,LBR,0,1.78,5.84,3.48,37.22,17.74,618.2774
70,Libya,LBY,2,3.233333333,6.766666667,21.8,26.73333333,7.166666667,621.9033333
71,Madagascar,MDG,0,2.24,9.957142857,2.5,52.575,34.31428571,2932.9285
72,Malawi,MWI,0,1.607692308,4.64,7.484615385,49.10714286,17.40666667,2409.5668
73,Maldives,MDV,2,4.725,15.78,4.66,32.6,30.32,36.0454
74,Mali,MLI,0,4.457142857,13.24285714,2.2,34.41428571,26.67142857,2533.564286
75,Marshall Islands,,2,1.1,3.5,4.1,34.8,11.9,1.0
76,Mauritania,MRT,1,3.975,13.41,2.6375,34.17,24.86666667,500.2949
77,Mexico,MEX,2,0.65,3.825,7.371428571,19.175,6.525,11349.53525
78,Mongolia,MNG,1,0.9625,2.444444444,9.925,20.77777778,5.911111111,290.8246667
79,Montenegro,MNE,2,1.7,3.5,19.0,8.65,1.6,39.3245
80,Morocco,MAR,1,1.95,4.483333333,10.86666667,23.85,6.916666667,3310.867167
81,Mozambique,MOZ,0,2.566666667,6.8,6.566666667,47.84285714,20.75714286,3619.840286
82,Myanmar,MMR,1,2.5,9.771428571,4.62,45.1,29.75555556,5089.456556
83,Namibia,NAM,2,2.75,8.575,4.125,29.2,18.05,273.5885
84,Nauru,NRU,2,0.2,1.0,2.8,24.0,4.8,1.0
85,Nepal,NPL,0,2.528571429,10.325,1.028571429,51.9125,36.95,3226.073625
86,Nicaragua,NIC,1,0.75,2.033333333,6.55,24.06666667,7.033333333,671.9388333
87,Niger,,0,4.33,15.93636364,1.52,46.0,38.26363636,3137.215818
88,Nigeria,NGA,1,4.38,12.04545455,4.890909091,39.46363636,26.68181818,26759.82036
89,North Macedonia,,2,0.633333333,2.3,12.73333333,8.066666667,1.666666667,125.1286667
90,Oman,OMN,3,1.68,7.783333333,3.55,16.06666667,11.91666667,332.156
91,Pakistan,PAK,1,4.5,14.31428571,4.757142857,46.67142857,33.7375,21774.89788
92,Panama,PAN,3,0.333333333,1.366666667,9.066666667,19.83333333,4.733333333,346.0026667
93,Papua New Guinea,PNG,1,2.8,8.0,6.733333333,46.46666667,22.9,869.428
94,Paraguay,PRY,2,0.333333333,1.325,9.275,13.025,2.525,679.47625
95,Peru,PER,2,0.213333333,0.793333333,8.94,21.86,4.32,2922.8424
96,Philippines,,1,1.92,7.127272727,3.1,36.27272727,24.14545455,10529.68327
97,Republic Of Korea,,3,0.15,1.05,6.75,2.5,0.8,2487.097
98,Republic Of Moldova,,1,1.45,3.85,6.9,8.55,2.7,215.5515
99,Romania,ROU,2,0.9,3.72,8.08,13.22,3.88,1268.1806
100,Rwanda,RWA,0,1.425,4.866666667,6.314285714,46.31111111,15.88888889,1423.755333
101,Saint Lucia,LCA,2,0.7,3.7,6.3,2.5,2.8,11.07
102,Samoa,WSM,2,1.3,2.6,5.75,5.65,2.45,27.0955
103,Sao Tome And Principe,,1,2.333333333,7.02,9.55,28.88,11.26,25.896
104,Saudi Arabia,SAU,3,4.5,7.35,3.65,15.35,9.4,2744.397
105,Senegal,SEN,1,1.825,8.271428571,2.115384615,22.73571429,16.3,2036.353071
106,Serbia,SRB,2,1.233333333,3.966666667,16.26666667,6.9,1.733333333,489.8266667
107,Seychelles,SYC,3,1.2,3.5,8.0,7.8,4.3,8.1065
108,Sierra Leone,SLE,0,3.075,8.61,6.2375,37.2,20.39,982.5267
