"Country"," 2020"," 2019"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"Afghanistan","70","72","72","66","66","64","62","64","67","68","66","63","64","63","","","","","","",""
"Albania","","99","99","99","98","99","98","99","99","99","99","98","99","98","98","98","99","97","96","96","96"
"Algeria","","91","91","91","91","95","95","95","95","95","95","94","91","90","80","83","81","","","",""
"Andorra","98","98","98","98","94","94","95","94","96","99","96","96","97","91","84","79","77","81","84","84","84"
"Angola","47","53","59","52","55","55","55","54","52","50","49","47","45","43","","","","","","",""
"Antigua and Barbuda","95","99","95","95","92","99","99","99","98","99","98","98","98","97","99","99","97","99","99","96",""
"Argentina","74","83","86","86","92","94","94","94","91","91","94","94","90","85","84","88","81","73","66","",""
"Armenia","","92","92","94","94","94","93","95","95","95","94","93","89","85","78","91","91","93","91","69","55"
"Australia","95","95","95","95","94","93","91","91","91","92","92","94","94","94","95","95","95","95","95","94",""
"Austria","85","85","85","90","87","93","98","95","92","89","86","83","83","85","83","86","83","83","81","44","33"
"Azerbaijan","79","94","95","95","97","96","94","93","88","84","80","74","68","62","52","49","50","51","50","",""
"Bahamas","","89","90","94","94","95","96","97","96","95","98","95","90","93","96","93","93","88","89","21",""
"Bahrain","98","99","99","98","99","98","98","99","99","99","99","98","97","97","98","98","98","98","98","99","97"
"Bangladesh","98","98","98","98","98","98","97","96","94","96","94","97","96","95","86","45","11","5","","",""
"Barbados","85","90","95","90","97","97","94","91","87","91","86","93","85","93","84","92","93","91","66","18",""
"Belarus","97","97","98","98","96","99","97","98","97","98","96","98","98","91","98","99","99","56","99","93","70"
"Belgium","","97","97","97","97","98","98","98","98","97","97","97","98","94","94","77","64","64","60","60","60"
"Belize","79","98","96","88","95","94","95","95","98","95","96","97","94","96","98","96","97","96","97","96","76"
"Benin","72","76","76","76","76","74","74","77","80","75","76","79","75","82","74","70","75","73","15","",""
"Bhutan","96","97","97","98","98","99","99","97","97","95","91","93","96","95","95","95","89","95","83","89","98"
